"TRANSPORTEUR","REGION"
"chonoposte","Kudang"
"dhl","Upton"
"chonoposte","Ōnojō"
"chonoposte","Kawungsari"
"dhl","Cilangkap"
"chonoposte","Desa Nasol"
"dhl","Jomsom"
"collisimo","Пласница"
"collisimo","Pubu"
"dhl","Tambo Grande"
"chonoposte","Cawayan Bugtong"
"collisimo","Plalar"
"chonoposte","Guyang"
"chonoposte","Lanat"
"chonoposte","Buliran Segundo"
"chonoposte","Slutsk"
"chonoposte","Xiangyanglu"
"collisimo","Banatska Topola"
"dhl","Jaffna"
"chonoposte","Gaohe"
"chonoposte","Tomigusuku"
"dhl","Suzuka"
"collisimo","Doblas"
"collisimo","Bidikotak"
"chonoposte","Paris 06"
"collisimo","Hailin"
"dhl","Ipu"
"collisimo","Putrajaya"
"dhl","Mira"
"dhl","Dongbang"
"chonoposte","Cereté"
"dhl","Kiraman"
"dhl","Boguchar"
"chonoposte","Bazi"
"collisimo","Rolândia"
"collisimo","Bébédja"
"collisimo","Yuzui"
"dhl","Bataiporã"
"collisimo","Al Miftāḩ"
"collisimo","Sumurasin"
"collisimo","North Cowichan"
"chonoposte","Sukth"
"chonoposte","Dongdong"
"chonoposte","Ongi"
"chonoposte","Ḑubāh"
"dhl","Hazlov"
"dhl","Banyumas"
"dhl","Gombangan"
"collisimo","Kadudampit"
"dhl","Georgiyevka"
"chonoposte","Masaya"
"dhl","Ungca"
"collisimo","Henggang"
"dhl","Langxi"
"chonoposte","Senhor do Bonfim"
"chonoposte","El Paraiso"
"dhl","Patabog"
"collisimo","Riangbao"
"collisimo","Susoh"
"dhl","Tambov"
"collisimo","Enriquillo"
"chonoposte","Amancio"
"dhl","Göteborg"
"chonoposte","Serpukhov"
"dhl","Petro-Slavyanka"
"dhl","Pak Phanang"
"collisimo","Skovorodino"
"dhl","Lilio"
"collisimo","Berëzovskiy"
"chonoposte","Watodei"
"dhl","Gaotan"
"dhl","Palmas De Gran Canaria, Las"
"chonoposte","Itaúna"
"chonoposte","Shalazhi"
"chonoposte","Lubin"
"chonoposte","Xumai"
"dhl","Lanuza"
"chonoposte","Buenavista"
"chonoposte","São Lourenço da Mata"
"chonoposte","Liwan"
"collisimo","Payao"
"dhl","Atalaia"
"dhl","Heung-hai"
"collisimo","Potou"
"dhl","Barkā’"
"chonoposte","Åby"
"chonoposte","Sukasada"
"collisimo","Outing"
"collisimo","Madrid"
"dhl","Dingshu"
"dhl","Nueva Italia"
"dhl","Cabarroguis"
"chonoposte","Tržič"
"collisimo","Changmaoling"
"chonoposte","Utmānzai"
"chonoposte","Guadalupe"
"chonoposte","Ujazd"
"collisimo","Pontevedra"
"collisimo","Tāfuna"
"dhl","Badar"
"collisimo","Shuanghe"
"collisimo","Point Pedro"
"collisimo","Oumé"
"collisimo","Águas"
"chonoposte","Göteborg"
"collisimo","Seynod"
"dhl","Stockholm"
"collisimo","Jabłonica Polska"
"dhl","Bayang"
"dhl","Rakhiv"
"collisimo","Altona"
"collisimo","Dolní Čermná"
"collisimo","Cô Tô"
"chonoposte","Jinotepe"
"dhl","Yingwusitang"
"chonoposte","Yaroslavl"
"collisimo","Głogów Małopolski"
"chonoposte","Huajlaya"
"dhl","Shaliu"
"dhl","Orsk"
"chonoposte","Saurimo"
"collisimo","Laç"
"chonoposte","Yambol"
"dhl","Shouzhan"
"chonoposte","General Alvear"
"dhl","Novokubansk"
"chonoposte","Trélazé"
"chonoposte","Markovo"
"chonoposte","Akora"
"chonoposte","Guarujá"
"collisimo","Uitiuhtuan"
"collisimo","Tønsberg"
"chonoposte","Batang"
"chonoposte","Buenavista"
"collisimo","Vydreno"
"dhl","Tuohua"
"chonoposte","Rogachëvo"
"collisimo","Ciudad Ojeda"
"dhl","Sarykemer"
"chonoposte","Primero de Enero"
"chonoposte","Troitskoye"
"collisimo","Mykonos"
"dhl","Foz do Arelho"
"chonoposte","Kopayhorod"
"dhl","Banjar Batuaji Kaja"
"chonoposte","Beigang"
"collisimo","Yingde’er"
"collisimo","Beiguoyuan"
"chonoposte","Kapuskasing"
"collisimo","Lavandeira"
"collisimo","Yingcheng"
"chonoposte","Markaz Bilād aţ Ţa‘ām"
"chonoposte","Mizdah"
"chonoposte","Santa Cruz"
"chonoposte","Polzela"
"dhl","Tobias Fornier"
"chonoposte","Yelets"
"chonoposte","Podolí"
"chonoposte","Vaughan"
"chonoposte","Saari"
"dhl","Campinas"
"chonoposte","New Iloilo"
"dhl","Miaotang"
"dhl","Rongcheng"
"dhl","Santa Maria da Vitória"
"dhl","Maţarah"
"dhl","Yunzhong"
"dhl","Porosozero"
"dhl","Tewulike"
"collisimo","Esparza"
"collisimo","Ludvika"
"dhl","Lewograran"
"collisimo","Bamusso"
"collisimo","Dianfang"
"chonoposte","El Progreso"
"dhl","Bobigny"
"collisimo","Buynichy"
"dhl","Budzów"
"chonoposte","Brejoeira"
"dhl","Rukem"
"dhl","Słońsk"
"chonoposte","Batallas"
"dhl","Touying"
"collisimo","Sanom"
"chonoposte","Muzayri‘"
"chonoposte","Makrochóri"
"collisimo","Nelson"
"dhl","Açu"
"collisimo","Vera"
"collisimo","Ban Selaphum"
"chonoposte","Bununu Dass"
"collisimo","Blantyre"
"chonoposte","Sydney"
"chonoposte","Orlando"
"collisimo","Rosh Ha‘Ayin"
"collisimo","Gongji"
"chonoposte","Croix"
"collisimo","Ludwigshafen am Rhein"
"collisimo","Petushki"
"chonoposte","Novokizhinginsk"
"chonoposte","Cofimvaba"
"chonoposte","Steinsel"
"collisimo","Nglengkir"
"chonoposte","Monsanto"
"collisimo","Jinja"
"chonoposte","Yawata"
"collisimo","Lubbock"
"collisimo","Puerto Galera"
"collisimo","Linjiang"
"chonoposte","Auna"
"collisimo","Rixi"
"dhl","Shuiyin"
"dhl","Zhishan"
"chonoposte","Wagini"
"dhl","Xiaozhen"
"dhl","Mopti"
"chonoposte","Owando"
"dhl","Tomepampa"
"collisimo","Quime"
"chonoposte","Kachug"
"collisimo","Yelizavetinskaya"
"dhl","Molde"
"chonoposte","Mātli"
"dhl","Ishinomaki"
"chonoposte","Sabaneta"
"chonoposte","Beiyuan"
"collisimo","Orong"
"dhl","Moundou"
"dhl","São Luís do Quitunde"
"chonoposte","Syzran’"
"collisimo","Błędów"
"chonoposte","Mabamba"
"chonoposte","Gampengrejo"
"collisimo","Zengjia"
"collisimo","Seattle"
"collisimo","Faro"
"dhl","Eisen"
"dhl","Tangxi"
"dhl","Walton"
"collisimo","Tijão"
"dhl","Dangjiaxian"
"collisimo","Jiangchi"
"collisimo","Delicias"
"chonoposte","Kieta"
"chonoposte","Paniqui"
"chonoposte","Santa Cruz do Bispo"
"chonoposte","Tahe"
"dhl","Aricapampa"
"dhl","San Sebastián"
"collisimo","Malabonot"
"collisimo","Yangmadao"
"chonoposte","Catujal"
"chonoposte","Saposoa"
"collisimo","Jungutbatu Kaja Dua"
"dhl","Burujul"
"dhl","Yokotemachi"
"dhl","Vera Cruz"
"chonoposte","Fucheng"
"collisimo","Saýat"
"chonoposte","Tegalsari"
"dhl","Amiens"
"collisimo","Tanuma"
"dhl","Xianyi"
"dhl","Panggungwinong"
"dhl","Maruoka"
"collisimo","Varāmīn"
"collisimo","Tongqian"
"dhl","Faaone"
"dhl","Laurel"
"collisimo","Guangming"
"chonoposte","Dogonbadan"
"chonoposte","Machikou"
"chonoposte","Damanhūr"
"chonoposte","Kandana"
"chonoposte","Xiniu"
"collisimo","Guojiazhuang"
"chonoposte","Hengxizhen"
"chonoposte","Curuzú Cuatiá"
"collisimo","Hengshan"
"chonoposte","Quelimane"
"collisimo","Sogod"
"collisimo","Kozlovice"
"dhl","Yulin"
"dhl","Qal‘ah-ye Na‘īm"
"collisimo","Kecskemét"
"chonoposte","Sabnie"
"collisimo","Tidaholm"
"chonoposte","Tupiza"
"dhl","Sempol"
"collisimo","Sankera"
"collisimo","Vidnoye"
"dhl","Victoria West"
"chonoposte","Magbay"
"chonoposte","Bojongsarung"
"collisimo","Camplong"
"chonoposte","Leipzig"
"dhl","Afonsoeiro"
"dhl","Genisséa"
"chonoposte","Bocaiúva"
"dhl","Paradela"
"chonoposte","Klang"
"dhl","Yonghe"
"chonoposte","Kaliprak"
"chonoposte","Dawang"
"collisimo","Kharbathā Banī Ḩārith"
"collisimo","Quezon"
"collisimo","Sergelen"
"chonoposte","Feteira Pequena"
"collisimo","Zhoushizhuang"
"dhl","Guanzhuang"
"dhl","Nanchoc"
"collisimo","Wilmington"
"dhl","Binhailu"
"dhl","Kalipucang"
"chonoposte","Unidad"
"collisimo","Dnestrovsc"
"collisimo","Pochep"
"dhl","Kotel’va"
"chonoposte","Charlotte"
"dhl","Huayuan"
"chonoposte","Saint Andrews"
"collisimo","Paris La Défense"
"collisimo","Norak"
"dhl","Parungjawa"
"dhl","Soanindrariny"
"chonoposte","Rubio"
"dhl","Phak Hai"
"dhl","Zaki Biam"
"dhl","Kaduketug"

1 000 lignes sélectionnées. 

