"NOMPROD","CATEGORIE","MARQUE","PRIX"
"Italian Breadsticks","Food - Bakery","NASDAQ",44
"Basil-infused Olive Oil","Food - Cooking Oil","NYSE",92
"Handmade Leather Wallet","Accessories","NYSE",33
"Inflatable Pool Float","Outdoor","NYSE",90
"Spinach Pizza Rolls","Food - Frozen Foods","NASDAQ",17
"Reversible Comforter Set","Home","NYSE",50
"Sea Salt Tortilla Chips","Food - Snacks","NYSE",87
"Dishwasher Safe Cutting Board","Kitchen","NASDAQ",2
"Compact Folding Table","Outdoor","NASDAQ",47
"Sweet and Sour Sauce","Food - Condiments","NYSE",47
"USB Desk Fan","Home","NASDAQ",35
"Smoked Gouda Cheese","Food - Dairy","NASDAQ",52
"Electric Heat Pad","Health","NASDAQ",5
"Traditional Hummus","Food - Dips","NYSE",66
"Electric Heat Press Machine","Crafts","NASDAQ",76
"Peanut Butter Filled Pretzels","Food - Snacks","NASDAQ",59
"Electric Butter Churn","Kitchen","NASDAQ",14
"Colorful Post-It Notes Set","Office","NASDAQ",30
"Sporty Leggings","Clothing - Activewear","NASDAQ",61
"Pumpkin Pie Spice","Food - Baking","NYSE",46
"Handmade Leather Wallet","Accessories","NASDAQ",31
"Sun Protection Clothing","Clothing","NASDAQ",85
"Frozen Berry Medley","Food - Frozen Foods","NYSE",10
"Slingback Sandals","Clothing - Footwear","NASDAQ",47
"Electric Rice Cooker with Steamer","Kitchen","NASDAQ",73
"Organic Black Rice","Food - Grains","NASDAQ",88
"Pet Bed with Removable Cover","Pets","NYSE",71
"Organic Black Rice","Food - Grains","NASDAQ",60
"Smoky BBQ Jackfruit","Food - Grocery","NYSE",100
"Mango Sticky Rice Dessert","Food - Frozen Desserts","NASDAQ",66
"Pet Hair Vacuum Cleaner Attachment","Pets","NASDAQ",69
"Self-Watering Planter","Garden","NYSE",19
"Induction Cooktop","Kitchen","NASDAQ",68
"Solar String Lights","Outdoor","NYSE",95
"Honey Garlic Chicken","Food - Meat","NASDAQ",77
"Pork Tenderloin","Food - Meat","NASDAQ",59
"Spinach Artichoke Dip","Food - Snacks","NYSE",88
"Biodegradable Trash Bags","Home","NASDAQ",25
"Fruit Medley Juice","Food - Beverages","NYSE",45
"Luxury Memory Foam Mattress Topper","Home","NASDAQ",99
"Pumpkin Spice Coffee","Food - Beverages","NYSE",6
"Italian Breadsticks","Food - Bakery","NYSE",9
"Compact Shoe Rack","Home","NASDAQ",28
"Stylish Wireless Earbuds","Audio","NASDAQ",11
"Carrot and Celery Sticks","Food - Produce","NASDAQ",20
"Portable Camping Shower","Outdoor","NYSE",1
"Fashionable Scarves Set","Clothing","NASDAQ",88
"Compact Hair Dryer","Beauty","NASDAQ",38
"Mint Chocolate Chip Ice Cream","Food - Frozen Desserts","NYSE",70
"Microfiber Cleaning Cloth Set","Home","NASDAQ",36
"Folding Exercise Bike","Fitness","NYSE",95
"Silicone Baking Molds","Kitchen","NYSE",28
"Dishwasher Safe Cutting Board","Kitchen","NYSE",63
"USB Desk Fan","Home","NYSE",81
"Pine Nuts","Food - Nuts","NASDAQ",20
"Air Mattress","Outdoor","NASDAQ",97
"Ramen Noodles","Food - Pasta","NYSE",15
"Creamy Coleslaw Mix","Food - Produce","NYSE",82
"Buffalo Chicken Wraps","Food - Prepared Meals","NASDAQ",48
"Rustic Italian Breads","Food - Bakery","NASDAQ",16
"Photo Album","Home","NYSE",65
"Artisan Bread","Food - Bakery","NASDAQ",7
"Spinach and Feta Stuffed Chicken Breast","Food - Meat","NASDAQ",99
"Rice Noodles","Food - Grains","NASDAQ",55
"Blueberry Oatmeal Cups","Food - Breakfast","NYSE",30
"Coconut Almond Granola","Food - Breakfast","NASDAQ",14
"Vintage Graphic Tee","Clothing - Tops","NASDAQ",52
"Wooden Toy Train Set","Toys","NYSE",98
"Kids' Art Easel","Toys","NASDAQ",66
"Travel Laundry Bag","Travel","NASDAQ",69
"Voice-Controlled Speaker","Audio","NYSE",76
"Two-Tier Fruit Basket","Home","NYSE",27
"Non-Stick Grill Mat","Outdoor","NYSE",45
"Tailored Blazer","Clothing - Outerwear","NASDAQ",88
"Pet Activity Tracker","Pets","NYSE",29
"Pumpkin Spice Granola","Food - Breakfast","NYSE",13
"BBQ Jackfruit","Food - Prepared Foods","NASDAQ",29
"A-Line Skirt","Clothing - Bottoms","NASDAQ",79
"Scented Candle Set","Home","NYSE",93
"Pet Hair Vacuum Attachment","Pets","NASDAQ",72
"Himalayan Pink Salt","Food - Condiments","NYSE",80
"Smart Light Switch","Smart Home","NYSE",21
"Casual Sneakers","Clothing - Footwear","NYSE",73
"Travel Laundry Bag","Travel","NYSE",11
"Fitness Jump Box","Fitness","NYSE",24
"Frozen Chicken Nuggets","Food - Frozen Foods","NYSE",69
"Lemon Herb Chicken","Food - Meat","NYSE",93
"Creamy Spinach Dip","Food - Prepared Foods","NASDAQ",19
"Camping Chair with Cooler","Outdoor","NYSE",36
"Insulated Lunch Bag","Kitchen","NASDAQ",72
"Roasted Garlic","Food - Condiments","NYSE",99
"Wall Calendar","Home","NYSE",36
"Tortilla Chips","Food - Snacks","NYSE",16
"Zucchini Noodles","Food - Vegetables","NYSE",18
"Blueberry Chia Jam","Food - Spreads","NASDAQ",96
"Pork Tenderloin","Food - Meat","NYSE",20
"Compact Electric Kettle","Kitchen","NYSE",48
"Kettle Chip Variety Pack","Food - Snacks","NYSE",78
"Apple Cinnamon Instant Oatmeal","Food - Cereal","NASDAQ",93
"Quinoa","Food - Grains","NYSE",44
"Wireless Gaming Mouse","Gaming","NYSE",2
"Lightweight Backpacking Tent","Outdoor","NASDAQ",16
"Automatic Pet Feeder","Pets","NYSE",11
"Balsamic Fig Dressing","Food - Condiments","NASDAQ",100
"Garlic Breadsticks","Food - Sides","NASDAQ",26
"Oven Thermometer","Kitchen","NASDAQ",63
"Foot Massager Machine","Health","NYSE",36
"Personalized Pet ID Tags","Pets","NYSE",96
"Foldable Picnic Table","Outdoor","NASDAQ",31
"Tomato Basil Soup","Food - Canned Goods","NYSE",10
"Whole Wheat Pasta","Food - Grains","NASDAQ",68
"Multi-Purpose Scissors","Office","NASDAQ",46
"Stainless Steel Cutlery Set","Kitchen","NASDAQ",3
"Zesty Garlic Marinade","Food - Condiments","NASDAQ",17
"White Rice","Food - Grains","NYSE",49
"Sweet Potato Chips","Food - Snacks","NYSE",99
"Frozen Edamame","Food - Frozen Foods","NASDAQ",38
"Travel Pillow","Travel","NYSE",18
"Cauliflower Pizza Crust","Food - Frozen Foods","NASDAQ",94
"Digital Camera","Electronics","NASDAQ",2
"Spicy Thai Noodles","Food - Frozen Meals","NYSE",53
"Hummus Trio Pack","Food - Snacks","NASDAQ",81
"Reversible Swimming Pool Lounger","Outdoor","NASDAQ",89
"Hummus Trio Pack","Food - Snacks","NASDAQ",44
"Coconut Macaroons","Food - Confectionery","NASDAQ",72
"Honey Garlic Chicken","Food - Meat","NYSE",73
"Chickpea Pancakes","Food - Frozen","NASDAQ",63
"Asian Stir-Fry Kit","Food - Frozen Meals","NYSE",6
"Miso Soup Starter","Food - Soups","NASDAQ",16
"Feta Cheese Crumbles","Food - Dairy","NASDAQ",55
"Laptop Backpack","Accessories","NYSE",91
"Whole Grain Cereal","Food - Breakfast","NASDAQ",80
"Jigsaw Puzzle","Toys","NASDAQ",84
"Frozen Salmon Filets","Food - Seafood","NYSE",85
"Spinach Pizza Rolls","Food - Frozen Foods","NASDAQ",61
"Soft Plush Throw Blanket","Home","NASDAQ",59
"Kale and Quinoa Salad","Food - Salads","NYSE",90
"Pineapple Salsa","Food - Condiments","NYSE",94
"Nature Explorer Lens Kit","Toys","NASDAQ",82
"Peach Mango Smoothie Mix","Food - Beverages","NYSE",66
"Whipped Cream Cheese","Food - Dairy","NASDAQ",6
"Smartwatch","Wearable Tech","NYSE",70
"Corn Tortillas","Food - Bakery","NYSE",88
"Inspirational Wall Art","Home","NYSE",74
"Pineapple Coconut Rice Mix","Food - Grains","NASDAQ",6
"Essential Oil Roller Bottles","Health","NYSE",96
"Bamboo Utensil Holder","Kitchen","NASDAQ",33
"Thai Coconut Curry Sauce","Food - Condiments","NYSE",32
"Nut Mix","Food - Snacks","NASDAQ",47
"Herbed Chicken Breast","Food - Meat","NYSE",29
"Turkey Bacon","Food - Meat","NASDAQ",2
"Car Windshield Sun Shade","Automotive","NYSE",21
"Spiralizer","Kitchen","NYSE",15
"Vanilla Ice Cream","Food - Frozen Foods","NASDAQ",11
"Portable Camping Stove","Outdoor","NASDAQ",7
"Savory Oatmeal","Food - Breakfast","NASDAQ",82
"Magnetic Puzzle Board","Toys","NASDAQ",56
"Almond Joy Protein Bars","Food - Snacks","NASDAQ",78
"Peanut Butter Banana Smoothie","Food - Beverages","NASDAQ",58
"Premium Flashlight","Outdoor","NASDAQ",32
"Smart Air Purifier","Home","NASDAQ",11
"Blender Bottle","Fitness","NYSE",88
"Free-Range Eggs","Food - Dairy","NYSE",77
"Garlic Butter Shrimp","Food - Seafood","NYSE",67
"Ginger Turmeric Shots","Food - Beverages","NASDAQ",51
"Electric Pressure Washer","Home Improvement","NYSE",12
"Electric Butter Churn","Kitchen","NYSE",92
"Magnetic Phone Car Mount","Automotive","NYSE",38
"Pecan Pie Filling","Food - Baking Goods","NYSE",53
"Oats","Food - Grains","NASDAQ",89
"Thyme","Food - Fresh Produce","NASDAQ",79
"Oven-Baked Sweet Potato Fries","Food - Frozen Foods","NYSE",20
"Instant Mashed Potatoes","Food - Sides","NYSE",75
"Frozen Berry Blend","Food - Frozen Foods","NYSE",3
"Cucumber Relish","Food - Condiments","NASDAQ",47
"Creamy Ranch Dressing","Food - Dressings","NASDAQ",54
"Whisk Set","Kitchen","NYSE",68
"Luxury Bathrobe","Clothing","NASDAQ",24
"Pet Training Pads","Pets","NYSE",57
"Travel Makeup Organizer","Beauty","NASDAQ",73
"Tuna Fish (canned)","Food - Canned Goods","NASDAQ",78
"Luxe Velvet Blazer","Clothing - Outerwear","NASDAQ",88
"Air Fryer","Kitchen","NYSE",57
"Kale Salad with Lemon Dressing","Food - Salads","NASDAQ",66
"Herb-Infused Olive Oil","Food - Oils","NYSE",62
"Pineapple Coconut Yogurt","Food - Dairy","NASDAQ",12
"Warm Knit Beanie","Clothing - Accessories","NYSE",14
"Ready-to-Eat Chili","Food - Soups","NYSE",38
"Savory Mushroom Risotto","Food - Gourmet Rice","NYSE",9
"Car Diagnostic Scanner","Automotive","NASDAQ",93
"Mediterranean Chickpea Salad","Food - Salads","NYSE",92
"Bird Feeder","Outdoor","NYSE",58
"Flavored Instant Oatmeal","Food - Breakfast","NASDAQ",30
"Mini Indoor Herb Garden Kit","Garden","NYSE",100
"LED Camping Lantern with USB Charging","Outdoor","NYSE",78
"Pepperoni Pizza Roll-Ups","Food - Frozen Foods","NASDAQ",44
"Wooden Puzzle Game","Toys","NYSE",29
"Peach Preserves","Food - Condiments","NASDAQ",81
"Mango Chunks","Food - Frozen Fruits","NASDAQ",4
"Coconut Curry Sauce","Food - Sauces","NYSE",36
"Italian Marinara Sauce","Food - Sauces","NASDAQ",8
"Dishwasher Safe Cutting Board","Kitchen","NYSE",45
"Organic Quinoa Salad","Food - Prepared Meals","NASDAQ",96
"Collapsible Camping Cup","Outdoor","NYSE",24
"Raspberry Lemonade Mix","Food - Beverages","NASDAQ",62
"Set of Herb Garden Markers","Garden","NASDAQ",80
"Organic Whole Grain Oats","Food - Breakfast","NASDAQ",65
"Electric Heat Pad","Health","NYSE",26
"Beard Grooming Kit","Grooming","NYSE",83
"Wild Rice Pilaf","Food - Grains","NASDAQ",44
"Hibiscus Herbal Tea","Food - Beverages","NASDAQ",20
"Matcha Green Tea Powder","Food - Beverages","NASDAQ",96
"Home Karaoke System","Audio","NYSE",98
"Fruit Medley Juice","Food - Beverages","NASDAQ",33
"Outdoor Camping Lantern","Outdoor","NASDAQ",28
"Italian Pasta","Food - Grains","NASDAQ",74
"Adjustable Bar Stools","Furniture","NASDAQ",10
"Pineapple Coconut Yogurt","Food - Dairy","NASDAQ",33
"Compact Shoe Rack","Home","NYSE",12
"Spicy Salsa Verde","Food - Condiments","NASDAQ",78
"Folding Exercise Bike","Fitness","NASDAQ",25
"Digital Bullet Journal","Apps","NASDAQ",43
"Granola Bars","Food - Snacks","NASDAQ",84
"Portable Solar Path Lights","Outdoor","NASDAQ",98
"Zucchini Noodles","Food - Vegetables","NYSE",74
"Peach Fruit Cups","Food - Snacks","NASDAQ",21
"Frozen Acai Purée","Food - Frozen","NYSE",13
"Radish Chips","Food - Snacks","NASDAQ",84
"Glass Tea Pot","Kitchen","NASDAQ",85
"Casual Cropped Sweater","Clothing - Sweaters","NYSE",52
"Avocado Lime Dressing","Food - Condiments","NYSE",63
"Baby Monitor","Baby","NYSE",82
"Teriyaki Stir-Fry Sauce","Food - Condiments","NYSE",11
"Bluetooth Shower Speaker","Audio","NYSE",21
"Spicy Kimchi","Food - Condiments","NYSE",65
"Multi-Cooker","Kitchen","NYSE",3
"Foam Roller for Muscle Recovery","Fitness","NYSE",40
"Vegan chocolate chip cookies","Food - Bakery","NYSE",42
"Creamy Garlic Mashed Potatoes","Food - Sides","NYSE",47
"Glass Food Containers","Kitchen","NASDAQ",81
"Smartphone UV Sanitizer","Health","NASDAQ",74
"Wireless Earbud Silicone Covers","Accessories","NASDAQ",54
"Hibiscus Herbal Tea","Food - Beverages","NASDAQ",55
"Frozen Chicken Nuggets","Food - Frozen Foods","NASDAQ",11
"Bike Repair Tool Kit","Outdoor","NASDAQ",85
"Pesto Pasta Sauce","Food - Sauces","NYSE",27
"Basil-infused Olive Oil","Food - Cooking Oil","NASDAQ",51
"Digital Voice Recorder","Electronics","NYSE",95
"Field Journal","Books","NASDAQ",29
"Bluetooth Shower Speaker","Audio","NYSE",37
"Oven Mitts with Pocket","Kitchen","NASDAQ",36
"Tomato Sauce","Food - Canned Goods","NYSE",62
"Pasta Salad Kit","Food - Prepared Foods","NYSE",53
"Chocolate Mint Protein Shake","Food - Beverages","NYSE",20
"Board Game","Toys","NYSE",35
"Self-Massaging Pillow","Health","NYSE",93
"Dish Soap Dispenser","Kitchen","NASDAQ",74
"Biodegradable Phone Case","Accessories","NYSE",31
"Infrared Space Heater","Home Appliances","NASDAQ",48
"Party Mini Dress","Clothing - Dresses","NASDAQ",76
"Key Finder","Accessories","NASDAQ",70
"Thai Green Curry Paste","Food - Sauces","NYSE",3
"Mixed Nuts","Food - Snacks","NASDAQ",26
"Vegetable Stir-Fry Kit","Food - Produce","NYSE",17
"Salsa Verde","Food - Condiments","NYSE",66
"Infrared Space Heater","Home Appliances","NYSE",58
"Kids' Art Easel","Toys","NYSE",24
"Crispy Onion Rings","Food - Frozen Foods","NASDAQ",13
"Smartphone Photography Ring Light","Photography","NASDAQ",82
"Pet Grooming Brush","Pets","NASDAQ",57
"Electric Bike","Bicycles","NASDAQ",58
"Blue Denim Jeans","Clothing - Bottoms","NASDAQ",25
"Electric Hot Pot","Kitchen","NYSE",20
"Garlic Naan Bread","Food - Bakery","NYSE",86
"Adjustable Dog Harness","Pets","NYSE",100
"Non-Stick Baking Sheets","Kitchen","NASDAQ",42
"Baked Mac and Cheese","Food - Frozen Foods","NASDAQ",14
"Caramel Apple Taffy","Food - Confectionery","NASDAQ",97
"Knitted Infinity Scarf","Clothing - Accessories","NYSE",84
"Sliced Turkey Breast","Food - Deli Meats","NASDAQ",61
"Self-Adhesive Wallpaper","Home","NASDAQ",74
"Peach Salsa","Food - Dips","NASDAQ",19
"Wireless Mouse","Electronics","NASDAQ",75
"LED Desk Lamp with USB Charging","Office","NASDAQ",77
"Vegetable Pizza Rolls","Food - Frozen Foods","NYSE",58
"Asian Stir-Fry Vegetables","Food - Frozen Foods","NYSE",73
"LED Strip Lights Kit","Home","NASDAQ",79
"Dish Rack","Kitchen","NYSE",83
"Coconut Cream Pie","Food - Bakery","NYSE",7
"USB Flash Drive","Storage","NASDAQ",43
"Dishwasher Safe Cutting Board","Kitchen","NYSE",52
"Lemon Dill Salmon","Food - Seafood","NYSE",23
"Rainbow Veggie Chips","Food - Snacks","NYSE",96
"Customizable Wall Calendar","Office","NASDAQ",68
"Vegetable Quinoa Bowl","Food - Frozen Meals","NASDAQ",93
"Stainless Steel Cutlery Set","Kitchen","NASDAQ",83
"Coffee Making Kit","Kitchen","NYSE",14
"Pasta Portion Control Measure","Kitchen","NYSE",12
"Pasta Maker Machine","Kitchen","NASDAQ",15
"Balsamic Vinegar","Food - Condiments","NASDAQ",21
"Chickpeas","Food - Canned Goods","NYSE",14
"Classic Vanilla Fudge","Food - Desserts","NYSE",43
"Party Mini Dress","Clothing - Dresses","NYSE",85
"Lemon Herb Grilled Chicken","Food - Meat","NYSE",97
"Fresh Strawberries","Food - Produce","NYSE",16
"Gardening Tool Belt","Garden","NASDAQ",41
"Almond Butter","Food - Condiments","NASDAQ",38
"Greek Yogurt","Food - Dairy","NASDAQ",34
"Solar String Lights","Outdoor","NASDAQ",14
"Athletic Compression Tights","Clothing - Activewear","NASDAQ",17
"Mango Chilli Sauce","Food - Condiments","NASDAQ",66
"Shatterproof Wine Glasses","Outdoor","NYSE",36
"Caramel Apple Chips","Food - Snacks","NASDAQ",5
"Bicycle Lock","Bicycles","NASDAQ",23
"Smoked Paprika","Food - Spices","NASDAQ",96
"Green Smoothie Mix","Food - Beverages","NASDAQ",77
"Vegetarian Stir Fry Sauce","Food - Condiments","NYSE",10
"Scented Soy Candles","Home","NASDAQ",93
"Tea Infuser Bottle","Kitchen","NYSE",2
"Magnetic Spice Containers","Kitchen","NYSE",3
"Mini Food Processor","Kitchen","NASDAQ",63
"Coconut Curry Lentils","Food - Canned Goods","NYSE",93
"Thai Green Curry Paste","Food - Sauces","NASDAQ",16
"Smart WiFi Plug","Smart Home","NASDAQ",91
"Chickpea Pasta","Food - Pasta","NASDAQ",87
"Portable Projector","Electronics","NYSE",66
"Vegan Chickpea Salad","Food - Prepared Foods","NASDAQ",37
"Coconut Rice","Food - Frozen","NASDAQ",96
"Vegan Tacos","Food - Frozen Foods","NYSE",36
"Sesame Garlic Noodles","Food - Pasta","NASDAQ",42
"Cinnamon Raisin Bread","Food - Bakery","NYSE",83
"Fitness Balance Ball","Fitness","NYSE",43
"Cabbage","Food - Produce","NASDAQ",8
"Tabletop Fire Pit","Outdoor","NASDAQ",100
"Roasted Chickpeas","Food - Snacks","NASDAQ",81
"Eco-Friendly Beeswax Wraps","Kitchen","NASDAQ",56
"Compact Electric Kettle","Kitchen","NYSE",69
"Over-the-Door Shoe Organizer","Home","NASDAQ",79
"Outdoor Portable Fire Pit","Outdoor","NYSE",43
"Foot Spa Bath Massager","Health","NASDAQ",84
"Ski Goggles","Sports","NASDAQ",92
"Greek Yogurt Parfait","Food - Dairy","NASDAQ",49
"Portable Bluetooth Keyboard","Electronics","NYSE",2
"Feta Cheese Crumbles","Food - Dairy","NYSE",11
"Peach Preserves","Food - Condiments","NASDAQ",13
"Multi-Function Meat Tenderizer","Kitchen","NASDAQ",65
"Beef Stroganoff Meal Kit","Food - Frozen Meals","NYSE",68
"Oven-Baked Parmesan Zucchini","Food - Frozen Vegetables","NYSE",30
"Tea Infuser Bottle","Kitchen","NASDAQ",25
"Travel Eye Mask with Ear Plugs","Travel","NYSE",42
"Smart LED Light Strip","Home","NYSE",67
"Feta Cheese Crumbles","Food - Dairy","NYSE",30
"Herbed Couscous","Food - Grains","NYSE",87
"Honey Mustard Dip","Food - Condiments","NYSE",7
"Tomato Basil Pasta Sauce","Food - Sauces","NASDAQ",95
"Ceramic Planter Set","Home","NASDAQ",70
"Body Wash","Beauty","NYSE",66
"Roasted Garlic Butter","Food - Condiments","NYSE",34
"Chocolate Syrup","Food - Condiments","NASDAQ",37
"Garden Vegetable Chips","Food - Snacks","NASDAQ",51
"Honey Mustard Pretzel Bites","Food - Snacks","NASDAQ",83
"Silicone Cooking Utensils Set","Kitchen","NASDAQ",83
"Sunglasses Case","Accessories","NYSE",5
"Solar String Lights","Outdoor","NYSE",80
"Graphic Sweatshirt","Clothing - Tops","NASDAQ",16
"Stuffed Grape Leaves","Food - Prepared Foods","NYSE",71
"Spinach Feta Wraps","Food - Deli","NYSE",50
"Roasted Garlic Mashed Potatoes","Food - Frozen Foods","NYSE",63
"Kale Chips","Food - Snacks","NYSE",75
"Chic Jumpsuit","Clothing - Jumpsuits","NASDAQ",61
"Digital Wireless Meat Thermometer","Kitchen","NYSE",25
"Wireless Car Charger","Automotive","NASDAQ",57
"Coffee Maker","Kitchen","NYSE",73
"Collapsible Storage Crates","Home","NYSE",51
"Almond Butter Cookies","Food - Snacks","NYSE",65
"Biodegradable Trash Bags","Home","NASDAQ",29
"Cable Knit Cardigan","Clothing - Outerwear","NYSE",83
"Natural Peanut Butter","Food - Spreads","NASDAQ",94
"Electric Toothbrush Holder","Health","NASDAQ",12
"Teriyaki Chicken Stir-Fry","Food - Frozen Foods","NASDAQ",67
"Organic Vanilla Bean Ice Cream","Food - Frozen Desserts","NASDAQ",62
"Aged White Cheddar Popcorn","Food - Snacks","NASDAQ",85
"Portable Pet Pooper Scooper","Pets","NASDAQ",13
"Sliced Bread","Food - Bakery","NASDAQ",55
"Cinnamon Roll Protein Bar","Food - Snacks","NYSE",46
"Spinach and Feta Wraps","Food - Prepared Foods","NYSE",21
"Self-Watering Planter","Garden","NASDAQ",12
"Wrist Support Brace","Health","NYSE",59
"Cauliflower Rice Stir-Fry","Food - Frozen Foods","NYSE",21
"Decorative Throw Pillows","Home","NASDAQ",30
"Chic Ankle Strap Heels","Clothing - Shoes","NASDAQ",14
"Outdoor Mosquito Repellent Lantern","Outdoor","NASDAQ",74
"Canned Coconut Milk","Food - Canned Goods","NYSE",47
"Whole Chicken","Food - Meat","NYSE",25
"Wrap Front Midi Skirt","Clothing - Bottoms","NASDAQ",26
"Sparkling Blood Orange Soda","Food - Beverages","NASDAQ",81
"Yoga Mat Carrier","Fitness","NASDAQ",2
"Children's Garden Tool Set","Garden","NASDAQ",66
"Noise-Canceling Earbuds","Audio","NASDAQ",34
"Multi-Port USB Hub","Electronics","NYSE",12
"Almond Milk Yogurt","Food - Dairy Alternatives","NYSE",32
"LED Christmas Tree Lights","Home","NASDAQ",34
"Canned Sardines","Food - Seafood","NYSE",7
"Maple Bacon Jerky","Food - Meat","NYSE",93
"Comfortable Bed Pillow","Home","NASDAQ",80
"Honey Sesame Chicken","Food - Frozen Food","NYSE",60
"Memory Foam Pillow","Home","NYSE",19
"Herb Drying Rack","Garden","NYSE",97
